NOAM_type,WOC_type,TCC_type,LCOM5_type,number_private_visibility_methods,isStatic_type,LOC_package,NOCS_type,AMW_type,FANOUT_type,CFNAMM_type,NOMNAMM_package,NOM_package,number_static_methods,AMWNAMM_type,number_standard_design_methods,number_not_final_static_methods,LOC_type,NOMNAMM_type,WMC_type,number_not_final_not_static_methods,RFC_type,ATFD_type,WMCNAMM_type,number_private_visibility_attributes,number_protected_visibility_methods,DIT_type,num_not_final_not_static_attributes,NOA_type,number_not_abstract_not_final_methods,number_abstract_methods,LOCNAMM_type,CBO_type,NOM_type,number_final_static_methods,NIM_type,is_data_class
0,0.5,1.0,1.0,4,0,701,0,1.5,1,2,72,72,0,1.5,6,0,54,6,9,6,56,3,9,0,0,3,2,2,6,0,54,5,6,0,32.0,0
0,0.333333,1.0,0.5,0,0,701,0,2.0,0,0,72,72,0,2.0,2,0,18,2,4,2,48,0,4,0,0,3,3,4,2,0,18,5,2,0,30.0,0
0,0.571429,1.0,1.0,3,0,701,0,1.0,1,2,72,72,0,1.0,7,0,34,7,7,7,57,2,7,0,0,3,3,3,7,0,34,5,7,0,32.0,0
0,0.333333,1.0,0.0,0,0,701,0,1.0,0,0,72,72,0,1.0,1,0,4,1,1,1,49,0,1,0,0,3,2,2,1,0,4,5,1,0,32.0,0
0,0.5,1.0,1.0,3,0,701,0,2.0,2,3,72,72,0,2.0,4,0,35,4,8,4,53,0,8,0,0,3,1,1,4,0,35,5,4,0,32.0,0
0,0.5,0.0,1.0,0,0,701,0,1.5,2,3,72,72,1,1.5,2,1,16,2,3,2,41,4,3,0,0,2,0,1,3,0,16,5,2,0,25.0,0
0,0.5,1.0,1.0,1,0,701,0,2.75,3,10,72,72,0,2.75,4,0,43,4,11,4,53,1,11,0,0,3,3,3,4,0,43,6,4,0,31.0,0
0,1.0,1.0,0.333333,0,0,701,0,1.75,0,0,72,72,0,1.75,3,0,26,4,7,4,4,0,7,0,0,1,1,1,4,0,26,0,4,0,0.0,0
0,0.666667,1.0,1.0,1,0,701,0,1.333333,1,2,72,72,0,1.333333,3,0,24,3,4,3,52,0,4,0,0,3,1,1,3,0,24,5,3,0,32.0,0
0,1.0,0.2,0.6,0,0,701,0,2.333333,3,5,72,72,0,2.333333,6,0,44,6,14,7,52,5,14,0,0,3,1,1,7,0,44,7,6,0,30.0,0
0,0.5,1.0,1.0,1,0,701,0,1.0,1,1,72,72,0,1.0,2,0,15,2,2,2,51,0,2,0,0,3,1,1,2,0,15,5,2,0,32.0,0
0,1.0,0.2,0.9,0,0,701,0,5.0,5,13,72,72,0,5.0,6,0,70,6,30,6,52,2,30,3,0,3,4,7,6,0,70,7,6,0,30.0,0
0,0.05,1.0,1.0,4,0,701,0,4.2,1,6,72,72,0,4.2,5,0,83,5,21,5,57,5,21,0,0,3,19,19,5,0,83,5,5,0,32.0,0
0,0.5,1.0,1.0,2,0,701,0,1.0,2,2,72,72,0,1.0,3,0,20,3,3,3,52,0,3,0,0,3,1,1,3,0,20,5,3,0,32.0,0
0,0.5,0.1,0.75,0,0,1752,0,1.6,3,6,171,182,0,1.6,5,0,49,5,8,5,44,4,8,0,4,2,0,1,5,0,49,5,5,0,25.0,0
0,0.5,0.714286,0.708333,0,0,1752,0,1.5714290000000002,2,7,171,182,1,1.5714290000000002,7,1,72,7,11,7,14,5,11,0,3,1,4,4,8,0,72,3,7,0,0.0,0
0,1.0,0.13333299999999998,0.8888889999999999,0,0,1752,0,2.3,3,12,171,182,0,2.3,10,0,98,10,23,10,48,5,23,0,4,2,2,2,10,0,98,5,10,0,22.0,0
0,1.0,0.622222,0.7,0,0,1752,0,1.727273,0,0,171,182,3,1.727273,10,3,70,11,19,8,11,0,19,0,0,2,2,2,11,0,70,0,11,0,6.0,0
0,0.833333,0.9523809999999999,0.5,0,0,1752,0,1.857143,3,7,171,182,0,1.857143,7,0,65,7,13,7,46,1,13,0,2,2,1,3,7,0,65,5,7,0,25.0,0
1,0.6,0.345455,0.8,0,0,1752,17,3.0,18,18,171,182,4,3.2,10,4,244,10,33,8,29,0,32,0,1,1,5,5,12,0,239,1,11,0,0.0,0
0,1.0,1.0,0.5,0,0,1752,0,1.5,0,0,171,182,0,1.5,2,0,19,2,3,3,2,0,3,0,0,1,2,2,3,0,19,0,2,0,0.0,0
0,1.0,1.0,0.0,0,1,1752,0,1.0,0,0,171,182,0,1.0,1,0,5,1,1,2,28,0,1,0,0,2,0,0,2,0,5,1,1,0,10.0,0
0,1.0,1.0,0.0,0,0,2639,0,1.0,1,4,100,109,0,1.0,0,0,18,4,4,4,9,0,4,0,0,4,0,0,4,0,18,1,4,0,15.0,0
0,1.0,1.0,0.6,0,0,2639,0,2.166667,0,0,100,109,0,2.166667,1,0,50,6,13,6,6,0,13,0,0,3,3,3,6,0,50,0,6,0,14.0,0
0,1.0,1.0,0.723214,25,0,2639,2,11.310345,25,51,100,109,6,11.310345,27,6,1371,29,328,23,87,106,328,1,0,1,4,4,29,0,1371,27,29,0,0.0,0
0,1.0,1.0,0.48148100000000005,8,0,2639,0,4.7,1,1,100,109,0,4.7,9,0,243,10,47,10,12,96,47,0,0,1,3,3,10,0,243,28,10,0,0.0,0
0,0.666667,1.0,1.0,0,1,2639,0,1.0,1,1,100,109,0,1.0,0,0,14,2,2,2,3,0,2,0,0,2,1,1,2,0,14,1,2,0,0.0,0
0,0.2,1.0,1.0,0,0,1690,2,1.0,1,1,46,48,0,1.0,0,0,76,2,2,2,3,0,2,0,0,2,8,8,2,0,76,2,2,0,0.0,0
0,1.0,0.0,0.0,0,0,44,0,1.0,0,0,5,5,0,1.0,2,0,15,2,2,3,21,0,2,0,0,2,0,0,3,0,15,4,2,0,11.0,0
0,1.0,0.0,0.0,0,0,44,0,1.333333,2,2,5,5,0,1.333333,3,0,29,3,4,3,15,0,4,0,0,2,0,0,3,0,29,5,3,0,7.0,0
39,0.025,0.08717899999999999,0.9717950000000001,0,0,1293,0,1.0,3,3,27,138,0,1.0,1,0,330,1,40,41,58,15,1,20,0,1,19,20,41,0,330,9,40,0,0.0,1
18,0.28,0.243333,0.898148,0,0,1293,0,1.0,4,3,27,138,0,1.0,7,0,199,7,25,26,40,5,7,9,0,2,9,9,26,0,37,7,25,0,10.0,1
0,1.0,1.0,0.0,1,0,619,0,3.333333,2,3,28,34,1,3.333333,2,1,88,3,10,2,6,1,10,0,0,5,0,0,3,0,88,2,3,0,72.0,0
6,0.8,0.26108400000000004,0.9373040000000001,0,0,619,0,1.833333,1,1,28,34,0,1.75,23,0,518,24,55,30,31,0,42,0,0,1,6,11,30,0,390,1,30,0,0.0,0
0,1.0,1.0,0.0,0,0,619,0,1.0,1,1,28,34,0,1.0,0,0,13,1,1,1,2,0,1,0,0,4,0,0,1,0,13,1,1,0,75.0,0
9,0.709677,0.49359,0.949275,7,0,7963,3,4.8297870000000005,11,30,277,322,2,5.605263,38,0,1342,38,227,41,77,19,213,13,9,1,24,48,41,0,1264,10,47,2,0.0,0
9,0.39534899999999995,0.272895,0.980867,3,0,7963,6,5.92,10,26,277,322,7,6.243901999999999,41,5,3600,41,296,41,80,0,256,15,21,1,41,96,46,0,3405,5,50,2,0.0,0
0,1.0,0.269231,0.882353,5,0,7963,0,15.888889,9,36,277,322,0,15.888889,18,0,1097,18,286,19,61,61,286,2,12,1,0,2,19,0,1097,9,18,0,0.0,0
7,0.3,0.361111,0.8,0,1,7963,0,1.0,0,0,277,322,0,1.0,2,0,112,4,11,11,11,0,4,0,0,1,6,6,11,0,64,0,11,0,0.0,1
0,1.0,0.0,0.0,2,0,993,10,2.0,10,11,106,111,4,2.0,4,4,196,4,8,0,15,0,8,0,0,1,0,0,4,0,196,0,4,0,0.0,0
0,1.0,1.0,0.5,0,1,993,0,1.0,1,2,106,111,0,1.0,1,0,26,2,2,2,4,0,2,0,0,1,3,3,2,0,26,2,2,0,0.0,0
4,0.636364,0.418182,0.8,0,0,993,0,1.0,0,0,106,111,0,1.0,7,0,107,7,11,12,11,0,7,0,0,1,4,4,12,0,67,0,11,0,0.0,1
0,1.0,0.5,0.6,0,0,713,1,2.5,4,4,34,36,0,2.5,4,0,166,4,10,4,34,0,10,5,2,2,4,5,4,0,166,10,4,0,14.0,0
0,0.46738201,1.0,0.0,0,0,713,0,6.0,1,1,34,36,0,6.0,1,0,34,1,6,2,2,2,6,0,0,1,0,0,2,0,34,3,1,0,0.0,0
0,1.0,0.714286,0.854167,0,0,713,0,2.571429,3,4,34,36,0,2.571429,7,0,167,7,18,7,36,0,18,8,1,2,1,8,7,0,167,10,7,0,14.0,0
9,0.46738201,0.38350300000000004,0.953717,10,0,2259,7,3.8730160000000002,5,11,101,113,1,4.314815,50,1,2005,54,244,58,77,3,233,4,19,2,14,23,55,4,1910,3,63,0,38.04488778,0
7,0.5625,0.2,0.866667,0,0,659,0,1.0,0,0,32,53,0,1.0,8,0,175,9,16,16,16,0,9,7,0,1,7,7,16,0,105,4,16,0,0.0,1
0,0.0,1.0,0.0,1,0,509,0,1.0,0,0,31,45,0,1.0,0,0,38,1,1,1,1,0,1,0,0,1,0,6,1,0,38,0,1,0,0.0,0
0,1.0,0.622222,0.3,0,0,197,1,1.545455,1,1,16,16,0,1.545455,10,0,146,11,17,2,12,0,17,1,0,1,1,1,2,0,146,0,11,0,0.0,0
0,1.0,1.0,0.0,1,0,197,0,7.0,0,0,16,16,0,7.0,1,0,42,1,7,2,1,0,7,0,0,1,0,0,2,0,42,0,1,0,0.0,0
0,0.46738201,0.0,1.0,0,0,197,0,2.75,2,4,16,16,0,2.75,3,0,51,4,11,3,8,0,11,0,0,2,4,4,1,2,51,5,4,0,38.04488778,0
9,0.25,0.30303,0.857143,0,0,762,0,1.75,1,0,47,77,0,3.666667,3,0,164,3,21,13,13,0,11,7,0,1,5,7,13,0,79,1,12,0,0.0,1
1,0.75,0.2,0.866667,1,0,2893,0,7.285714,12,20,112,139,1,8.0,5,0,321,6,51,4,38,11,48,5,2,1,5,5,4,0,306,13,7,1,0.0,0
0,1.0,1.0,0.825,3,0,817,2,2.222222,4,2,26,116,2,2.222222,8,2,200,9,20,7,13,1,20,5,0,1,3,5,9,0,200,3,9,0,0.0,0
0,0.46738201,1.0,0.0,0,0,817,0,2.0,0,0,26,116,0,2.0,1,0,10,1,2,2,1,1,2,0,0,1,0,0,2,0,10,1,1,0,0.0,0
3,0.25,0.333333,0.666667,0,0,817,0,1.0,0,0,26,116,0,1.0,1,0,25,1,4,5,4,0,1,2,0,1,2,2,5,0,7,0,4,0,0.0,1
8,0.0,0.14285699999999998,0.857143,0,0,817,0,1.0,0,0,26,116,0,0.0,0,0,47,0,8,9,8,0,0,4,0,1,4,4,9,0,47,0,8,0,0.0,1
6,0.25,0.14285699999999998,0.857143,0,0,817,0,1.0,0,0,26,116,0,1.0,2,0,47,2,8,9,8,0,2,4,0,1,4,4,9,0,11,0,8,0,0.0,1
16,0.0,0.06666699999999999,0.933333,0,0,817,0,1.0,0,0,26,116,0,0.0,0,0,91,0,16,17,16,0,0,8,0,1,8,8,17,0,91,3,16,0,0.0,1
0,1.0,0.0,0.0,0,0,2303,0,1.0,2,2,159,198,0,1.0,4,0,29,5,5,5,18,0,5,0,3,6,0,0,5,0,29,9,5,0,45.0,0
1,0.75,1.0,0.166667,0,0,2303,0,1.0,2,4,159,198,0,1.0,5,0,48,6,7,7,19,2,6,1,3,6,1,1,7,0,38,9,7,0,44.0,0
0,1.0,0.0,0.0,0,0,2303,0,1.333333,2,2,159,198,0,1.333333,5,0,39,6,8,6,18,3,8,0,3,6,0,0,6,0,39,9,6,0,44.0,0
0,0.9193549999999999,0.007519,0.996923,5,0,12655,0,11.893939,0,0,408,440,5,11.893939,62,0,1917,66,785,5,66,0,785,0,4,2,0,5,5,0,1917,1,66,5,51.0,0
0,1.0,0.0,1.0,3,0,928,2,6.857142999999999,6,8,41,41,0,6.857142999999999,6,0,301,7,48,7,23,13,48,0,0,1,6,6,7,0,301,6,7,0,0.0,0
0,1.0,1.0,0.0,0,0,928,0,1.0,0,0,41,41,0,1.0,0,0,8,2,2,2,2,0,2,0,0,3,0,0,2,0,8,0,2,0,15.0,0
0,1.0,0.0,0.0,0,1,928,0,2.0,0,0,41,41,0,2.0,2,0,12,2,4,3,2,0,4,0,0,2,0,0,3,0,12,0,2,0,2.0,0
0,1.0,0.333333,0.9642860000000001,18,0,928,3,5.181818,15,21,41,41,0,5.181818,21,0,603,22,114,22,69,25,114,0,0,1,2,4,22,0,603,15,22,0,0.0,0
2,1.0,0.3,0.94184,27,0,6579,9,2.121212,28,46,385,454,0,2.193548,30,0,1043,31,70,33,104,29,68,0,2,6,36,36,33,0,1015,23,33,0,531.0,0
0,0.0,1.0,0.0,1,0,71,0,1.0,0,0,5,5,0,1.0,0,0,38,1,1,1,1,0,1,0,0,1,0,4,1,0,38,0,1,0,0.0,0
8,0.0,0.14285699999999998,0.8888889999999999,0,0,14229,0,1.1,1,1,399,466,0,1.5,0,0,86,2,11,10,11,0,3,4,0,1,4,4,10,0,22,1,10,0,0.0,1
0,1.0,0.461538,0.894958,5,0,14229,0,13.222222,11,20,399,466,18,13.222222,18,18,1172,18,238,0,71,39,238,9,0,2,0,14,18,0,1172,21,18,0,20.0,0
7,0.22222199999999998,0.166667,0.84375,0,0,14229,0,1.0,1,1,399,466,0,1.0,2,0,86,2,9,9,18,0,2,4,0,2,4,4,9,0,30,2,9,0,8.0,1
4,0.0,0.333333,1.0,0,0,14229,0,1.0,0,0,399,466,0,0.0,0,0,95,0,4,5,4,0,0,2,0,1,9,14,5,0,63,1,4,0,0.0,1
0,0.46738201,0.363636,0.89375,4,0,3052,2,2.647059,7,19,165,176,0,2.647059,15,0,571,17,45,17,39,3,45,10,4,7,10,10,15,2,571,6,17,0,38.04488778,0
0,1.0,1.0,1.0,0,1,3052,0,4.0,2,2,165,176,0,4.0,1,0,66,2,8,2,6,2,8,2,0,6,2,2,2,0,66,2,2,0,574.0,0
0,0.46738201,0.0,1.0,1,0,3052,3,3.857143,5,7,165,176,2,3.857143,5,2,239,7,27,5,14,0,27,0,0,6,1,1,5,2,239,2,7,0,38.04488778,0
4,0.5,0.190476,0.955556,2,0,3052,1,1.4,4,7,165,176,0,1.0,5,0,149,6,14,10,27,1,6,5,0,7,5,5,10,0,91,8,10,0,541.0,0
1,0.921053,0.23968299999999998,0.959936,4,0,4151,1,3.325,17,46,154,176,38,3.384615,38,29,1243,39,133,2,94,14,132,14,0,1,0,16,31,0,1234,20,40,9,0.0,0
8,0.272727,0.14285699999999998,0.9,0,0,4404,0,1.0,0,0,154,202,0,1.0,0,0,83,3,11,11,11,0,3,4,0,1,4,4,11,0,43,0,11,0,0.0,1
0,1.0,1.0,0.0,0,0,147,0,2.0,1,1,20,20,0,2.0,1,0,8,1,2,2,10,0,2,0,0,2,0,0,2,0,8,5,1,0,6.0,0
2,0.6,0.6,0.75,0,0,1645,0,1.8,2,4,56,81,0,2.333333,3,0,95,3,9,5,27,0,7,4,0,3,4,4,5,0,75,7,5,0,18.0,0
15,0.4,0.108374,0.9523809999999999,0,0,1645,1,2.448276,9,23,56,81,0,4.0,14,0,573,14,71,29,67,6,56,10,4,3,14,15,29,0,477,12,29,0,14.0,0
6,0.25,0.380952,0.8857139999999999,0,0,1645,0,1.625,3,9,56,81,0,3.5,1,0,100,2,13,8,19,7,7,2,0,1,5,5,8,0,64,5,8,0,0.0,1
0,0.0,1.0,0.0,1,0,2309,0,1.0,0,0,78,96,0,1.0,0,0,252,1,1,1,1,0,1,0,0,1,0,48,1,0,252,0,1,0,0.0,0
0,0.875,0.22222199999999998,0.96,0,0,323,3,4.4545449999999995,15,29,16,16,0,4.4545449999999995,10,0,323,11,49,11,137,8,49,0,4,3,4,5,11,0,323,26,11,0,50.0,0
0,0.46738201,1.0,0.0,0,0,323,0,2.0,0,0,16,16,0,2.0,1,0,9,1,2,2,1,0,2,0,0,1,0,0,2,0,9,0,1,0,0.0,0
10,0.166667,0.163636,0.8909090000000001,0,0,2120,0,1.583333,2,2,99,114,1,4.0,1,1,97,2,19,11,14,1,8,0,0,1,5,5,12,0,42,2,12,0,0.0,1
0,1.0,1.0,1.0,0,0,4403,0,1.5,0,0,78,88,0,1.5,1,0,21,2,3,2,2,0,3,1,1,3,1,1,2,0,21,0,2,0,63.0,0
4,0.0,0.0,1.0,0,0,2503,0,1.0,1,1,74,131,0,1.0,0,0,127,1,5,5,19,0,1,5,0,3,5,15,5,0,89,2,5,0,13.0,1
7,0.46738201,0.032967,1.0,0,0,2503,0,1.266667,1,1,74,131,0,1.0,7,0,263,8,19,15,16,0,8,0,0,2,8,13,13,2,155,3,15,0,38.04488778,0
16,0.0,0.06666699999999999,0.9375,0,0,1904,0,1.0,0,0,49,71,0,1.0,0,0,97,1,17,17,17,0,1,8,0,1,8,8,17,0,1,0,17,0,0.0,1
0,1.0,0.755556,0.683333,2,0,752,0,3.9230769999999997,3,3,38,38,2,3.9230769999999997,12,2,218,13,51,11,19,3,51,5,0,2,4,5,13,0,218,4,13,0,3.0,0
0,1.0,1.0,0.0,0,0,752,0,2.0,0,0,38,38,0,2.0,1,0,8,1,2,2,1,0,2,0,0,1,0,0,2,0,8,0,1,0,0.0,0
89,0.385714,0.27739,0.984028,19,0,4816,0,2.938272,41,71,190,331,9,4.712329,70,6,3129,73,476,153,328,101,344,76,3,1,74,77,159,0,2065,57,162,3,0.0,0
40,0.024390000000000002,0.029268000000000002,0.9725,0,0,4816,0,1.02439,0,0,190,331,0,2.0,1,0,380,1,42,42,41,1,2,20,0,1,20,20,42,0,380,11,41,0,0.0,1
6,0.0,0.333333,0.733333,0,0,3268,0,1.333333,0,0,62,263,0,0.0,0,0,61,0,8,7,6,0,0,3,0,1,3,3,7,0,61,0,6,0,0.0,1
6,0.0,0.2,0.8,0,0,1379,0,1.0,0,0,35,52,0,0.0,0,0,26,0,6,6,6,0,0,3,0,1,3,3,6,0,26,0,6,0,0.0,1
0,1.0,0.622222,0.866667,6,0,613,5,3.5,14,23,25,28,15,3.5,15,15,561,16,56,1,42,0,56,1,0,1,0,1,16,0,561,9,16,0,0.0,0
0,0.46738201,1.0,0.0,0,0,613,0,1.0,0,0,25,28,0,1.0,1,0,6,1,1,2,1,0,1,0,0,1,0,0,2,0,6,1,1,0,0.0,0
7,0.3,0.13333299999999998,0.8611110000000001,0,0,2286,0,1.4,1,2,102,128,0,1.0,3,0,90,3,14,11,12,0,3,4,0,1,4,4,11,0,21,2,10,0,0.0,1
0,1.0,0.40579699999999996,0.8111109999999999,6,0,5146,2,4.451613,23,47,247,397,0,4.451613,30,0,1142,31,138,31,82,6,138,8,0,1,2,9,31,0,1142,27,31,0,0.0,0
6,0.0,0.2,0.833333,0,0,5146,0,1.0,1,1,247,397,0,1.0,0,0,33,1,7,7,25,1,1,3,0,2,3,3,7,0,3,3,7,0,17.0,1
7,0.0,0.14285699999999998,0.892857,0,0,5146,0,1.0,0,0,247,397,0,1.0,0,0,38,1,8,8,8,0,1,4,0,1,4,4,8,0,3,1,8,0,0.0,1
11,0.0,0.090909,0.924242,0,0,5146,0,1.0,0,0,247,397,0,1.0,0,0,56,1,12,12,12,1,1,6,0,1,6,6,12,0,1,2,12,0,0.0,1
13,0.0,0.076923,0.934066,0,0,5146,0,1.0,0,0,247,397,0,1.0,0,0,65,1,14,14,14,2,1,7,0,1,7,7,14,0,0,2,14,0,0.0,1
9,0.0,0.11111099999999999,0.911111,0,0,5146,0,1.0,0,0,247,397,0,1.0,0,0,47,1,10,10,10,0,1,5,0,1,5,5,10,0,2,1,10,0,0.0,1
0,1.0,0.0,1.0,1,0,59,1,1.833333,1,1,7,7,0,1.833333,5,0,59,6,11,6,7,0,11,1,1,4,0,1,6,0,59,0,6,0,45.0,0
0,0.46738201,1.0,0.0,0,0,59,0,1.0,0,0,7,7,0,1.0,1,0,5,1,1,2,1,0,1,0,0,1,0,0,2,0,5,1,1,0,0.0,0
2,0.75,0.722222,0.825893,7,0,1180,0,10.529411999999999,7,18,37,39,1,11.0,14,1,695,15,179,16,49,51,165,10,0,1,19,22,17,0,616,10,17,0,0.0,0
0,1.0,0.5,0.892857,3,0,1180,0,3.875,4,8,37,39,0,3.875,6,0,125,8,31,8,16,13,31,0,0,1,2,5,8,0,125,6,8,0,0.0,0
2,0.26,0.335994,0.9454370000000001,11,0,2137,0,7.138462,24,50,63,65,8,7.3333330000000005,62,8,2137,63,464,57,126,65,462,9,0,1,130,155,65,0,2127,26,65,0,0.0,0
0,1.0,1.0,1.0,12,0,1322,0,5.9375,18,26,30,30,1,5.9375,14,1,590,16,95,15,107,127,95,14,0,1,1,15,16,0,590,19,16,0,0.0,0
0,0.2,1.0,0.9973120000000001,7,0,1322,0,3.9230769999999997,14,55,30,30,2,3.9230769999999997,11,2,531,13,51,11,81,71,51,6,0,1,5,31,13,0,531,17,13,0,0.0,0
7,0.363636,0.533333,0.868132,3,0,5748,2,1.214286,3,3,263,334,0,1.285714,6,0,250,7,17,14,17,0,9,7,0,6,7,7,14,0,190,1,14,0,536.0,0
5,0.348485,0.219373,0.992743,40,0,5748,35,2.705882,62,103,263,334,22,2.84127,62,22,1867,63,184,46,197,36,179,70,0,6,61,109,68,0,1826,33,68,0,531.0,0
13,0.652174,0.12010799999999999,0.9709049999999999,18,0,6130,12,3.4406779999999997,19,32,341,466,0,3.891304,44,0,1097,46,203,59,96,6,179,27,0,2,30,32,59,0,957,9,59,0,50.0,0
0,1.0,0.0,0.0,0,0,148,0,1.0,1,1,12,12,0,1.0,2,0,12,2,2,3,3,0,2,0,0,1,0,0,3,0,12,3,2,0,0.0,0
0,1.0,1.0,0.0,1,0,148,0,1.0,2,2,12,12,0,1.0,3,0,29,4,4,4,6,0,4,4,0,1,4,4,4,0,29,3,4,0,0.0,0
5,0.375,0.642857,0.71875,0,0,3812,0,1.0,3,4,253,307,0,1.0,3,0,94,4,9,8,13,1,4,3,0,1,4,4,8,0,38,4,9,0,0.0,1
0,1.0,0.8909090000000001,0.8636360000000001,0,0,2820,0,1.75,9,20,112,121,0,1.75,11,0,290,12,21,12,34,5,21,1,1,1,1,2,12,0,290,11,12,0,0.0,0
1,0.5,1.0,1.0,0,0,2820,0,1.5,5,7,112,121,0,2.0,1,0,47,1,3,3,9,1,2,1,0,1,0,1,3,0,30,5,2,0,0.0,0
5,0.333333,0.14285699999999998,0.9375,0,1,2820,0,1.111111,0,0,112,121,0,1.25,2,0,117,4,10,9,9,0,5,3,0,1,6,6,9,0,67,0,9,0,0.0,1
8,0.875,0.471441,0.894965,1,0,5940,1,3.205479,13,67,281,330,0,3.4,62,0,1812,65,234,73,178,24,221,15,0,3,14,16,73,0,1706,19,73,0,31.0,0
0,0.14285699999999998,1.0,0.0,0,0,796,0,1.0,0,0,27,30,0,1.0,0,0,24,1,1,1,1,0,1,0,0,1,3,6,1,0,24,0,1,0,0.0,0
2,0.75,0.0,1.0,1,0,707,0,1.333333,3,6,34,39,0,1.142857,4,0,131,7,12,9,12,3,8,3,0,1,3,3,9,0,93,3,9,0,0.0,0
0,1.0,0.464286,0.8461540000000001,4,0,707,0,2.142857,0,0,34,39,0,2.142857,12,0,255,14,30,14,14,0,30,6,0,1,6,6,14,0,255,0,14,0,0.0,0
0,1.0,1.0,0.14285699999999998,0,0,1578,0,1.25,2,8,130,136,0,1.25,7,0,88,8,10,8,16,0,10,1,0,1,1,1,8,0,88,2,8,0,0.0,0
0,0.46738201,0.047619,1.0,0,0,1578,0,2.125,13,14,130,136,1,2.125,7,1,155,8,17,7,23,2,17,0,1,1,2,10,5,3,155,15,8,0,38.04488778,0
16,0.0,0.051948,0.9787879999999999,0,1,1627,0,1.304348,0,0,64,92,0,1.0,6,0,149,7,30,23,23,0,7,11,0,1,10,16,23,0,41,0,23,0,0.0,1
1,1.0,0.19230799999999998,0.9144389999999999,4,0,3957,17,10.888889,47,97,105,129,1,11.235294,16,1,2165,17,196,17,133,39,191,37,0,2,28,44,18,0,2143,45,18,0,3.0,0
0,1.0,1.0,0.0,0,0,3130,0,1.0,2,2,143,157,0,1.0,1,0,21,2,2,2,22,0,2,0,0,2,0,0,2,0,21,9,2,0,4.0,0
0,1.0,0.0,1.0,1,0,3130,0,1.0,2,1,143,157,1,1.0,2,1,31,3,3,2,11,1,3,1,0,3,0,1,3,0,31,2,3,0,6.0,0
19,0.391304,0.102798,0.980917,0,0,2771,33,1.6730770000000001,45,59,176,208,0,1.729412,84,0,1526,85,174,104,175,8,147,0,82,1,28,29,104,0,1384,16,104,0,0.0,0
5,0.5,0.11111099999999999,1.0,0,0,2771,1,1.7,4,5,176,208,0,1.6,4,0,227,5,17,10,15,1,8,1,2,5,16,17,10,0,169,4,10,0,698.0,0
8,0.0,0.0,1.0,0,0,1274,0,1.1,1,2,55,72,0,1.5,0,0,107,2,11,10,17,0,3,8,0,1,0,8,10,0,59,3,10,0,0.0,1
0,0.46738201,1.0,0.0,0,0,3219,0,2.0,1,1,471,549,0,2.0,2,0,24,2,4,2,3,0,4,0,2,1,0,1,2,0,24,1,2,0,38.04488778,0
0,0.46738201,0.0,0.0,0,0,3219,0,1.0,0,0,471,549,0,1.0,11,0,58,11,11,11,11,0,11,0,0,1,0,0,11,0,58,0,11,0,38.04488778,0
13,0.46738201,0.327635,0.926868,10,0,2074,0,3.947368,29,49,145,207,0,5.24,24,0,745,25,150,38,130,21,131,17,1,2,17,17,38,0,637,39,38,0,38.04488778,0
36,0.292929,0.11512599999999999,0.959583,3,0,12877,4,1.52809,5,4,400,545,0,1.660377,52,0,2078,53,136,89,94,3,88,59,21,5,63,97,89,0,1633,1,89,0,520.0,0
2,0.454545,0.181159,0.9702379999999999,0,0,12877,3,2.76,3,3,400,545,0,2.782609,22,0,596,23,69,25,43,0,64,0,18,2,3,7,25,0,576,2,25,0,13.0,0
7,0.392857,0.326797,0.9617549999999999,35,0,12877,1,4.8,3,3,400,545,0,5.3125,46,0,2214,48,264,55,72,32,255,23,7,2,29,46,55,0,2128,3,55,0,13.0,0
5,1.0,0.177778,0.9,0,0,12877,0,1.181818,0,0,400,545,0,1.333333,5,0,121,6,13,11,11,0,8,2,0,1,6,6,11,0,83,0,11,0,0.0,1
