FDP_method,ATFD_method,MeMCL_method,MaMCL_method,NMCS_method,LAA_method,CDISP_method,CINT_method,ATFD_type,FANOUT_method,CYCLO_method,MAXNESTING_method,LOC_method,NOAV_method,LOCNAMM_type,LOC_type,AMWNAMM_type,CFNAMM_method,AMW_type,LOC_package,LCOM5_type,TCC_type,NOLV_method,WMC_type,NOM_package,CFNAMM_type,RFC_type,WMCNAMM_type,NOMNAMM_package,CBO_type,is_feature_envy
0,0,0,0,0,1.0,1.0,1,3,1,1,1,3,1,54,54,1.5,1,1.5,701,1.0,1.0,0,9,72,2,56,9,72,5,0
0,0,0,0,0,1.0,1.0,1,3,1,1,1,3,1,54,54,1.5,1,1.5,701,1.0,1.0,0,9,72,2,56,9,72,5,0
0,0,0,0,0,0.0,1.0,1,3,1,1,1,5,2,54,54,1.5,1,1.5,701,1.0,1.0,2,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
1,2,0,0,0,0.0,0.0,0,3,0,2,2,11,5,54,54,1.5,0,1.5,701,1.0,1.0,3,9,72,2,56,9,72,5,0
2,5,0,0,0,0.28571399999999997,0.333333,3,5,1,5,3,29,12,35,35,5.0,3,5.0,701,0.0,1.0,8,5,72,3,52,5,72,6,1
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,2,18,18,1.0,1,1.0,2639,0.0,1.0,2,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,4,18,18,1.0,1,1.0,2639,0.0,1.0,4,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,2,18,18,1.0,1,1.0,2639,0.0,1.0,2,4,109,4,9,4,100,1,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,3,18,18,1.0,1,1.0,2639,0.0,1.0,3,4,109,4,9,4,100,1,0
3,10,0,0,0,0.294118,0.833333,6,106,5,6,3,33,23,1371,1371,11.310345,6,11.310345,2639,0.723214,1.0,6,328,109,51,87,328,100,27,1
2,9,0,0,0,0.166667,0.333333,3,106,1,10,4,48,17,1371,1371,11.310345,3,11.310345,2639,0.723214,1.0,6,328,109,51,87,328,100,27,1
2,56,0,0,0,0.3,0.368421,19,106,7,139,6,523,105,1371,1371,11.310345,19,11.310345,2639,0.723214,1.0,25,328,109,51,87,328,100,27,1
8,83,0,0,0,0.023528999999999998,0.6,5,173,3,75,6,257,101,828,828,6.8709679999999995,5,6.8709679999999995,1422,0.666667,1.0,16,213,54,13,44,213,54,36,1
0,0,0,0,0,0.0,0.0,0,0,0,1,1,5,1,15,15,1.0,0,1.0,44,0.0,0.0,1,2,5,0,21,2,5,4,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,4,0,15,15,1.0,0,1.0,44,0.0,0.0,1,2,5,0,21,2,5,4,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,29,29,1.333333,0,1.333333,44,0.0,0.0,0,4,5,2,15,4,5,5,0
0,0,0,0,0,1.0,0.0,0,15,0,1,1,4,1,330,330,1.0,0,1.0,1293,0.9717950000000001,0.08717899999999999,0,40,138,3,58,1,27,9,0
2,9,0,0,0,0.1,0.428571,7,13,3,23,5,176,32,538,538,2.5,3,2.5,1447,1.0,0.7843140000000001,18,45,77,5,31,45,60,6,1
0,0,0,0,0,0.0,1.0,1,1,1,3,2,18,0,88,88,3.333333,1,3.333333,619,0.0,1.0,1,10,34,3,6,10,28,2,0
1,1,0,0,0,0.0,0.5,2,1,1,4,2,27,7,88,88,3.333333,2,3.333333,619,0.0,1.0,6,10,34,3,6,10,28,2,0
1,1,0,0,0,0.0,0.5,2,1,1,3,3,12,4,88,88,3.333333,2,3.333333,619,0.0,1.0,4,10,34,3,6,10,28,2,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,7,4,390,518,1.75,1,1.833333,619,0.9373040000000001,0.26108400000000004,0,55,34,1,31,42,28,1,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,4,2,390,518,1.75,0,1.833333,619,0.9373040000000001,0.26108400000000004,2,55,34,1,31,42,28,1,0
0,0,0,0,0,1.0,0.0,0,0,0,3,3,30,14,390,518,1.75,0,1.833333,619,0.9373040000000001,0.26108400000000004,10,55,34,1,31,42,28,1,0
2,15,0,0,0,0.428571,0.454545,11,19,5,60,7,206,52,1264,1342,5.605263,11,4.8297870000000005,7963,0.949275,0.49359,19,227,322,30,77,213,277,10,1
0,0,0,0,0,1.0,0.333333,6,0,2,21,7,111,18,469,469,7.714286,6,7.714286,7963,0.9,0.3,17,54,322,10,17,54,277,1,0
1,19,0,0,0,0.095238,1.0,1,22,1,2,1,7,32,488,624,3.111111,0,2.166667,7963,0.989967,0.177866,1,52,322,13,41,28,277,9,1
5,33,0,0,0,0.0,0.333333,21,61,7,42,7,142,51,1097,1097,15.888889,16,15.888889,7963,0.882353,0.269231,12,286,322,36,61,286,277,9,1
0,0,0,0,0,0.0,1.0,1,0,1,3,3,18,9,196,196,2.0,1,2.0,993,0.0,0.0,9,8,111,11,15,8,106,0,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,8,3,196,196,2.0,0,2.0,993,0.0,0.0,3,8,111,11,15,8,106,0,0
0,0,0,0,0,0.0,0.0,0,0,0,2,2,14,1,196,196,2.0,0,2.0,993,0.0,0.0,1,8,111,11,15,8,106,0,0
0,0,0,0,0,0.0,0.9,10,0,9,2,2,31,5,196,196,2.0,10,2.0,993,0.0,0.0,6,8,111,11,15,8,106,0,0
2,5,0,0,0,0.0,0.5,2,6,1,8,3,22,7,170,197,2.5,2,2.636364,7010,1.0,0.0,2,29,464,6,18,25,451,3,1
0,0,0,0,0,1.0,1.0,4,0,4,3,5,79,15,166,166,2.5,4,2.5,713,0.6,0.5,10,10,36,4,34,10,34,10,0
0,0,0,0,0,1.0,0.0,0,0,0,4,3,15,3,166,166,2.5,0,2.5,713,0.6,0.5,1,10,36,4,34,10,34,10,0
0,0,0,0,0,1.0,0.0,0,0,0,2,2,12,7,166,166,2.5,0,2.5,713,0.6,0.5,3,10,36,4,34,10,34,10,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,166,166,2.5,0,2.5,713,0.6,0.5,0,10,36,4,34,10,34,10,0
1,2,0,0,0,0.0,1.0,1,2,1,6,3,32,6,34,34,6.0,1,6.0,713,0.0,1.0,4,6,36,1,2,6,34,3,0
0,0,0,0,0,0.636364,1.0,1,3,1,22,6,134,20,1910,2005,4.314815,1,3.8730160000000002,2259,0.953717,0.38350300000000004,10,244,113,11,77,233,101,3,0
1,3,0,0,0,0.5,0.5,4,3,2,24,6,122,25,1910,2005,4.314815,1,3.8730160000000002,2259,0.953717,0.38350300000000004,12,244,113,11,77,233,101,3,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,0,146,146,1.545455,1,1.545455,197,0.3,0.622222,0,17,16,1,12,17,16,0,0
0,0,0,0,0,1.0,0.0,0,0,0,2,2,6,2,146,146,1.545455,0,1.545455,197,0.3,0.622222,1,17,16,1,12,17,16,0,0
0,0,0,0,0,1.0,0.0,0,0,0,3,2,10,2,146,146,1.545455,0,1.545455,197,0.3,0.622222,1,17,16,1,12,17,16,0,0
5,10,0,0,0,0.166667,0.375,24,11,9,29,6,181,40,306,321,8.0,15,7.285714,2893,0.866667,0.2,24,51,139,20,38,48,112,13,1
6,14,2,2,1,0.06666699999999999,0.388889,18,14,7,20,8,110,33,130,130,3.714286,6,3.714286,1008,0.833333,0.06666699999999999,15,26,55,6,25,26,45,9,1
1,1,0,0,0,0.75,1.0,1,1,1,3,3,22,10,200,200,2.222222,0,2.222222,817,0.825,1.0,6,20,116,2,13,20,26,3,0
1,1,0,0,0,0.75,1.0,1,1,1,2,2,18,9,200,200,2.222222,0,2.222222,817,0.825,1.0,5,20,116,2,13,20,26,3,0
0,0,0,0,0,1.0,0.0,0,1,0,2,2,13,3,200,200,2.222222,0,2.222222,817,0.825,1.0,2,20,116,2,13,20,26,3,0
0,0,0,0,0,1.0,0.0,0,1,0,2,2,13,8,200,200,2.222222,0,2.222222,817,0.825,1.0,7,20,116,2,13,20,26,3,0
1,6,0,0,0,0.14285699999999998,0.166667,6,12,1,5,5,23,16,190,240,2.5,1,2.055556,7206,0.803922,0.428571,4,37,551,6,40,30,463,3,1
1,1,0,0,0,0.666667,1.0,1,0,1,1,1,5,4,29,29,1.0,1,1.0,2303,0.0,0.0,1,5,198,2,18,5,159,9,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,3,1,29,29,1.0,0,1.0,2303,0.0,0.0,0,5,198,2,18,5,159,9,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,3,1,29,29,1.0,0,1.0,2303,0.0,0.0,0,5,198,2,18,5,159,9,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,3,1,29,29,1.0,0,1.0,2303,0.0,0.0,0,5,198,2,18,5,159,9,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,3,0,29,29,1.0,1,1.0,2303,0.0,0.0,0,5,198,2,18,5,159,9,0
2,4,0,0,0,0.833333,1.0,2,13,2,32,6,119,31,5732,5744,8.954887,1,8.895522,12655,0.9973799999999999,0.938942,7,1192,440,20,157,1191,408,55,0
0,0,0,0,0,1.0,0.0,0,13,0,1,1,6,5,301,301,6.857142999999999,0,6.857142999999999,928,1.0,0.0,2,48,41,8,23,48,41,6,0
3,15,0,0,0,0.0,0.2,5,15,1,2,2,17,25,20,20,2.0,0,2.0,6579,0.0,1.0,6,2,454,0,6,2,385,5,1
0,0,0,0,0,1.0,0.0,0,0,0,1,1,4,4,228,228,4.181818,0,4.181818,228,0.933333,1.0,2,46,11,0,11,46,11,0,0
0,0,0,0,0,1.0,0.0,0,0,0,2,1,8,4,228,228,4.181818,0,4.181818,228,0.933333,1.0,3,46,11,0,11,46,11,0,0
0,0,0,0,0,1.0,0.0,0,0,0,2,1,7,2,228,228,4.181818,0,4.181818,228,0.933333,1.0,1,46,11,0,11,46,11,0,0
0,0,0,0,0,1.0,0.0,0,0,0,2,1,10,3,228,228,4.181818,0,4.181818,228,0.933333,1.0,2,46,11,0,11,46,11,0,0
0,0,0,0,0,1.0,0.0,0,0,0,4,2,23,4,228,228,4.181818,0,4.181818,228,0.933333,1.0,3,46,11,0,11,46,11,0,0
3,10,0,0,0,0.0,0.2,5,42,1,11,6,50,18,391,391,5.411765,5,5.411765,1345,0.0,1.0,8,92,133,23,79,92,133,39,0
5,19,0,0,0,0.394737,0.478261,23,34,11,89,8,413,61,819,819,16.666667,18,16.666667,14229,0.71875,0.533333,23,150,466,18,60,150,399,30,1
0,0,0,0,0,0.0,1.0,1,3,1,1,1,5,4,571,571,2.647059,1,2.647059,3052,0.89375,0.363636,4,45,176,19,39,45,165,6,0
0,0,0,0,0,0.0,1.0,1,3,1,1,1,5,4,571,571,2.647059,1,2.647059,3052,0.89375,0.363636,4,45,176,19,39,45,165,6,0
0,0,0,0,0,0.0,0.0,0,3,0,1,1,4,1,571,571,2.647059,0,2.647059,3052,0.89375,0.363636,1,45,176,19,39,45,165,6,0
0,0,0,0,0,0.0,0.0,0,3,0,1,1,4,1,571,571,2.647059,0,2.647059,3052,0.89375,0.363636,1,45,176,19,39,45,165,6,0
2,7,0,0,0,0.642857,0.5,22,14,11,35,6,270,62,1234,1243,3.384615,20,3.325,4151,0.959936,0.23968299999999998,42,133,176,46,94,132,154,20,0
1,9,0,0,0,0.25,0.666667,3,11,2,72,8,402,44,714,739,10.181818,3,7.3125,4404,0.866667,0.714286,32,117,202,7,24,112,154,4,1
0,0,0,0,0,0.0,1.0,1,0,1,2,1,6,1,12,12,1.5,1,1.5,147,0.0,0.0,1,3,20,1,11,3,20,5,0
0,0,0,0,0,0.0,0.0,0,0,0,1,1,3,1,12,12,1.5,0,1.5,147,0.0,0.0,1,3,20,1,11,3,20,5,0
0,0,0,0,0,0.0,1.0,1,0,1,2,1,6,1,8,8,2.0,1,2.0,147,0.0,1.0,1,2,20,1,10,2,20,5,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,4,2,75,95,2.333333,0,1.8,1645,0.75,0.6,1,9,81,4,27,7,56,7,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,4,2,75,95,2.333333,0,1.8,1645,0.75,0.6,1,9,81,4,27,7,56,7,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,6,6,75,95,2.333333,1,1.8,1645,0.75,0.6,4,9,81,4,27,7,56,7,0
0,0,0,0,0,1.0,1.0,2,0,2,4,4,29,6,75,95,2.333333,2,1.8,1645,0.75,0.6,5,9,81,4,27,7,56,7,0
0,0,0,0,0,0.0,0.0,0,2,0,31,6,160,18,248,248,10.0,0,10.0,2309,0.0,0.0,18,40,96,1,5,40,78,2,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,6,3,21,21,1.5,0,1.5,4403,1.0,1.0,2,3,88,0,2,3,78,0,0
0,0,0,0,0,1.0,0.0,0,0,0,2,1,8,2,21,21,1.5,0,1.5,4403,1.0,1.0,1,3,88,0,2,3,78,0,0
0,0,0,0,0,1.0,0.0,0,11,0,17,6,74,9,815,1323,8.416667,0,10.533333,4403,0.896552,0.636842,5,316,88,29,69,202,78,27,0
0,0,0,0,0,1.0,0.0,0,11,0,1,1,4,1,815,1323,8.416667,0,10.533333,4403,0.896552,0.636842,0,316,88,29,69,202,78,27,0
0,0,0,0,0,1.0,1.0,1,11,1,1,1,12,7,815,1323,8.416667,1,10.533333,4403,0.896552,0.636842,2,316,88,29,69,202,78,27,0
4,4,0,0,0,0.333333,1.0,10,11,10,50,8,244,33,815,1323,8.416667,6,10.533333,4403,0.896552,0.636842,32,316,88,29,69,202,78,27,1
5,7,0,0,0,0.3,0.8,15,11,12,44,8,208,36,815,1323,8.416667,8,10.533333,4403,0.896552,0.636842,29,316,88,29,69,202,78,27,1
1,1,0,0,0,0.5,0.714286,7,9,5,19,6,120,18,2758,2827,8.902439,6,8.431818,4403,0.8637870000000001,0.685606,18,371,88,42,95,365,78,33,0
0,0,0,0,0,1.0,0.0,0,3,0,2,1,6,2,218,218,3.9230769999999997,0,3.9230769999999997,752,0.683333,0.755556,1,51,38,3,19,51,38,4,0
0,0,0,0,0,1.0,0.0,0,3,0,1,1,3,2,218,218,3.9230769999999997,0,3.9230769999999997,752,0.683333,0.755556,1,51,38,3,19,51,38,4,0
0,0,0,0,0,1.0,0.0,0,3,0,3,1,6,4,218,218,3.9230769999999997,0,3.9230769999999997,752,0.683333,0.755556,2,51,38,3,19,51,38,4,0
0,0,0,0,0,1.0,0.0,0,3,0,2,2,5,1,218,218,3.9230769999999997,0,3.9230769999999997,752,0.683333,0.755556,0,51,38,3,19,51,38,4,0
0,0,0,0,0,1.0,1.0,2,1,2,7,3,98,15,175,319,3.75,2,2.4666669999999997,2259,0.923645,0.192118,8,74,161,5,36,30,103,5,0
4,10,0,0,0,0.166667,0.461538,13,15,6,11,3,84,21,255,255,4.857143,3,4.857143,304,0.75,0.14285699999999998,9,34,38,3,25,34,38,8,1
0,0,0,0,0,0.0,1.0,3,0,3,1,1,7,3,561,561,3.5,3,3.5,613,0.866667,0.622222,3,56,28,23,42,56,25,9,0
0,0,0,0,0,0.0,1.0,3,0,3,1,1,7,3,561,561,3.5,3,3.5,613,0.866667,0.622222,3,56,28,23,42,56,25,9,0
0,0,0,0,0,0.0,1.0,1,0,1,3,3,20,7,561,561,3.5,1,3.5,613,0.866667,0.622222,7,56,28,23,42,56,25,9,0
0,0,0,0,0,0.0,1.0,1,0,1,1,2,10,3,561,561,3.5,1,3.5,613,0.866667,0.622222,3,56,28,23,42,56,25,9,0
0,0,0,0,0,1.0,0.666667,6,0,4,17,6,80,18,188,248,6.428571,6,3.375,1322,0.891667,0.209524,14,54,72,11,27,45,32,7,0
0,0,0,0,0,1.0,0.28571399999999997,7,0,2,23,6,147,24,393,393,8.333333,7,8.333333,3177,0.642857,1.0,21,75,133,13,22,75,124,2,0
1,4,0,0,0,0.666667,0.684211,19,6,13,28,7,164,30,1142,1142,4.451613,19,4.451613,5146,0.8111109999999999,0.40579699999999996,18,138,397,47,82,138,247,27,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,4,4,59,59,1.833333,0,1.833333,59,1.0,0.0,3,11,7,1,7,11,7,0,0
0,0,0,0,0,0.0,0.0,0,0,0,2,2,7,2,59,59,1.833333,0,1.833333,59,1.0,0.0,2,11,7,1,7,11,7,0,0
0,0,0,0,0,0.0,0.0,0,0,0,2,2,7,2,59,59,1.833333,0,1.833333,59,1.0,0.0,2,11,7,1,7,11,7,0,0
0,0,0,0,0,0.0,1.0,1,0,1,3,3,19,4,59,59,1.833333,1,1.833333,59,1.0,0.0,5,11,7,1,7,11,7,0,0
2,6,0,0,0,0.454545,1.0,1,51,1,3,1,13,15,616,695,11.0,1,10.529411999999999,1180,0.825893,0.722222,4,179,39,18,49,165,37,10,0
2,4,0,0,0,0.636364,1.0,1,51,1,7,2,20,11,616,695,11.0,1,10.529411999999999,1180,0.825893,0.722222,0,179,39,18,49,165,37,10,0
1,3,0,0,0,0.7,0.5,2,51,1,10,3,40,11,616,695,11.0,2,10.529411999999999,1180,0.825893,0.722222,1,179,39,18,49,165,37,10,0
5,29,0,0,0,0.06451599999999999,0.230769,13,51,3,43,5,108,54,616,695,11.0,5,10.529411999999999,1180,0.825893,0.722222,15,179,39,18,49,165,37,10,1
3,17,0,0,0,0.227273,0.153846,13,51,2,52,5,136,30,616,695,11.0,8,10.529411999999999,1180,0.825893,0.722222,10,179,39,18,49,165,37,10,1
4,15,0,0,0,0.0,0.294118,17,15,5,24,4,120,28,134,147,6.75,16,4.8333330000000005,5545,1.0,0.0,13,29,382,16,88,27,274,18,1
0,0,0,0,0,1.0,0.0,0,0,0,127,11,406,48,1011,1011,14.25,0,14.25,2107,0.9878790000000001,0.681818,33,171,68,0,12,171,68,0,0
0,0,0,0,0,1.0,0.0,0,127,0,1,1,4,3,590,590,5.9375,0,5.9375,1322,1.0,1.0,1,95,30,26,107,95,30,19,0
0,0,0,0,0,1.0,0.0,0,127,0,1,1,3,1,590,590,5.9375,0,5.9375,1322,1.0,1.0,0,95,30,26,107,95,30,19,0
0,0,0,0,0,1.0,0.0,0,127,0,3,2,20,6,590,590,5.9375,0,5.9375,1322,1.0,1.0,4,95,30,26,107,95,30,19,0
4,35,0,0,0,0.166667,0.19230799999999998,26,127,5,22,7,143,99,590,590,5.9375,8,5.9375,1322,1.0,1.0,31,95,30,26,107,95,30,19,1
4,12,0,0,0,0.076923,0.22222199999999998,18,127,4,18,10,102,57,590,590,5.9375,7,5.9375,1322,1.0,1.0,28,95,30,26,107,95,30,19,1
6,24,0,0,0,0.076923,0.363636,22,27,8,87,8,374,72,495,523,21.8,14,19.0,5748,0.75,1.0,39,114,334,16,33,109,263,11,1
0,0,0,0,0,0.0,0.0,0,0,0,1,1,3,0,12,12,1.0,0,1.0,148,0.0,0.0,2,2,12,1,3,2,12,3,0
0,0,0,0,0,0.0,1.0,1,0,1,1,1,6,6,12,12,1.0,1,1.0,148,0.0,0.0,9,2,12,1,3,2,12,3,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,5,2,29,29,1.0,0,1.0,148,0.0,1.0,0,4,12,2,6,4,12,3,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,7,3,29,29,1.0,1,1.0,148,0.0,1.0,2,4,12,2,6,4,12,3,0
0,0,0,0,0,1.0,0.0,0,0,0,1,1,4,4,29,29,1.0,0,1.0,148,0.0,1.0,0,4,12,2,6,4,12,3,0
2,2,0,0,0,0.666667,1.0,2,1,2,55,7,241,42,356,372,9.666667,2,7.8333330000000005,1207,0.5,0.933333,36,94,95,9,21,87,89,4,0
3,11,0,0,0,0.153846,0.277778,18,11,5,3,2,38,27,74,74,1.4,13,1.4,1093,0.625,1.0,14,7,94,21,31,7,94,7,1
2,3,0,0,0,0.5625,0.571429,7,25,4,45,6,214,86,783,783,8.538461999999999,5,8.538461999999999,1683,0.9055559999999999,0.666667,69,111,37,24,44,111,37,12,0
2,5,0,0,0,0.6190479999999999,0.4,15,5,6,22,6,102,60,430,430,7.714286,14,7.714286,646,0.8703700000000001,1.0,37,54,28,47,56,54,27,17,0
0,0,0,0,0,1.0,0.0,0,5,0,1,1,3,2,290,290,1.75,0,1.75,2820,0.8636360000000001,0.8909090000000001,1,21,121,20,34,21,112,11,0
4,8,0,0,0,0.777778,0.3125,16,24,5,34,6,205,55,1706,1812,3.4,10,3.205479,5940,0.894965,0.471441,23,234,330,67,178,221,281,19,0
0,0,0,0,0,0.0,1.0,2,3,2,1,1,6,1,93,131,1.142857,2,1.333333,707,1.0,0.0,1,12,39,6,12,8,34,3,0
0,0,0,0,0,0.0,1.0,2,3,2,1,1,6,1,93,131,1.142857,2,1.333333,707,1.0,0.0,1,12,39,6,12,8,34,3,0
1,2,0,0,0,0.0,0.0,0,3,0,1,1,7,4,93,131,1.142857,0,1.333333,707,1.0,0.0,2,12,39,6,12,8,34,3,0
1,1,0,0,0,0.0,1.0,1,3,1,1,1,4,1,93,131,1.142857,1,1.333333,707,1.0,0.0,0,12,39,6,12,8,34,3,0
1,6,0,0,0,0.0,1.0,2,14,2,2,2,18,9,1127,1151,1.862069,2,1.806452,6459,1.0,0.0,3,56,443,29,53,54,432,11,1
1,7,0,0,0,0.0,1.0,1,8,1,1,1,20,11,307,307,2.0,1,2.0,6812,1.0,0.0,4,26,299,17,21,26,293,6,1
0,0,0,0,0,1.0,1.0,1,0,1,1,1,4,2,88,88,1.25,1,1.25,1578,0.14285699999999998,1.0,1,10,136,8,16,10,130,2,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,4,1,88,88,1.25,1,1.25,1578,0.14285699999999998,1.0,0,10,136,8,16,10,130,2,0
0,0,0,0,0,1.0,1.0,1,0,1,1,1,4,1,88,88,1.25,1,1.25,1578,0.14285699999999998,1.0,0,10,136,8,16,10,130,2,0
0,0,0,0,0,1.0,1.0,1,0,1,2,2,16,3,88,88,1.25,1,1.25,1578,0.14285699999999998,1.0,2,10,136,8,16,10,130,2,0
0,0,0,0,0,0.466667,0.263158,19,0,5,35,8,284,43,1566,1566,10.0,11,10.0,1627,0.895833,1.0,24,90,92,22,49,90,64,4,0
3,3,0,0,0,0.5,0.428571,7,7,3,21,8,104,21,776,776,4.565217,7,4.565217,2551,0.9444440000000001,0.11428599999999998,17,105,142,17,42,105,117,11,0
3,10,0,0,0,0.166667,0.571429,7,2,4,4,2,51,21,76,76,2.25,7,2.25,3957,1.0,0.333333,9,9,129,9,16,9,105,8,1
9,16,2,2,2,0.448276,0.809524,21,44,17,22,9,169,57,1538,1583,6.076923000000001,16,5.62069,1583,0.975914,0.809524,29,163,32,71,154,158,29,58,1
6,12,0,0,0,0.52381,0.416667,36,12,15,23,6,159,55,228,228,7.75,27,7.75,3757,0.733333,0.5,29,31,219,30,44,31,137,25,1
0,0,0,0,0,0.0,1.0,1,0,1,1,1,4,1,21,21,1.0,1,1.0,3130,0.0,1.0,1,2,157,2,22,2,143,9,0
0,0,0,0,0,0.0,1.0,1,1,1,1,1,3,0,31,31,1.0,1,1.0,3130,1.0,0.0,0,3,157,1,11,3,143,2,0
