MAXNESTING_method,CYCLO_method,NOLV_method,LOC_method,NOAV_method,CDISP_method,FDP_method,CFNAMM_method,CINT_method,MaMCL_method,CLNAMM_method,NMCS_method,FANOUT_method,MeMCL_method,AMWNAMM_type,AMW_type,LAA_method,LOCNAMM_type,LOC_type,WMCNAMM_type,LOC_package,LCOM5_type,ATFD_method,WMC_type,NOP_method,TCC_type,NOM_package,NOMNAMM_package,ATLD_method,number_final_not_static_methods,CFNAMM_type,ATFD_type,number_final_methods,is_long_method
1,1,0,3,1,1.0,0,1,1,0,1,0,1,0,1.5,1.5,1.0,54,54,9,701,1.0,0,9,0,1.0,72,72,1,0,2,3,0,0
1,1,0,3,1,1.0,0,1,1,0,1,0,1,0,1.5,1.5,1.0,54,54,9,701,1.0,0,9,0,1.0,72,72,1,0,2,3,0,0
1,1,2,5,2,1.0,0,1,1,0,0,0,1,0,1.5,1.5,0.0,54,54,9,701,1.0,0,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,1,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,1,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
2,2,3,11,5,0.0,1,0,0,0,0,0,0,0,1.5,1.5,0.0,54,54,9,701,1.0,2,9,1,1.0,72,72,0,0,2,3,0,0
3,5,8,29,12,0.333333,2,3,3,0,0,0,1,0,5.0,5.0,0.28571399999999997,35,35,5,701,0.0,5,5,0,1.0,72,72,2,0,3,5,0,0
1,1,2,3,2,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,2,1.0,109,100,0,0,4,0,0,0
1,1,4,3,4,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,4,1.0,109,100,0,0,4,0,0,0
1,1,2,3,2,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,2,1.0,109,100,0,0,4,0,0,0
1,1,3,3,3,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,18,18,4,2639,0.0,0,4,3,1.0,109,100,0,0,4,0,0,0
3,6,6,33,23,0.833333,3,6,6,0,3,0,5,0,11.310345,11.310345,0.294118,1371,1371,328,2639,0.723214,10,328,0,1.0,109,100,5,0,51,106,0,0
4,10,6,48,17,0.333333,2,3,3,0,6,0,1,0,11.310345,11.310345,0.166667,1371,1371,328,2639,0.723214,9,328,5,1.0,109,100,2,0,51,106,0,0
6,139,25,523,105,0.368421,2,19,19,0,6,0,7,0,11.310345,11.310345,0.3,1371,1371,328,2639,0.723214,56,328,1,1.0,109,100,24,0,51,106,0,1
6,75,16,257,101,0.6,8,5,5,0,4,0,3,0,6.8709679999999995,6.8709679999999995,0.023528999999999998,828,828,213,1422,0.666667,83,213,2,1.0,54,54,2,0,13,173,0,1
1,1,1,5,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,15,15,2,44,0.0,0,2,1,0.0,5,5,0,0,0,0,0,0
1,1,1,4,0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,15,15,2,44,0.0,0,2,1,0.0,5,5,0,0,0,0,0,0
1,1,1,5,1,0.0,0,0,0,0,1,0,0,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,1,0.0,5,5,0,0,2,0,0,0
2,2,2,12,1,1.0,0,2,2,0,0,0,2,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,2,0.0,5,5,0,0,2,0,0,0
1,1,0,3,0,0.0,0,0,0,0,0,0,0,0,1.333333,1.333333,0.0,29,29,4,44,0.0,0,4,0,0.0,5,5,0,0,2,0,0,0
1,1,0,4,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,330,330,1,1293,0.9717950000000001,0,40,0,0.08717899999999999,138,27,1,0,3,15,0,0
5,23,18,176,32,0.428571,2,3,7,0,2,0,3,0,2.5,2.5,0.1,538,538,45,1447,1.0,9,45,7,0.7843140000000001,77,60,1,0,5,13,0,1
2,3,1,18,0,1.0,0,1,1,0,0,0,1,0,3.333333,3.333333,0.0,88,88,10,619,0.0,0,10,0,1.0,34,28,0,0,3,1,0,0
2,4,6,27,7,0.5,1,2,2,0,1,0,1,0,3.333333,3.333333,0.0,88,88,10,619,0.0,1,10,4,1.0,34,28,0,0,3,1,0,0
3,3,4,12,4,0.5,1,2,2,0,0,0,1,0,3.333333,3.333333,0.0,88,88,10,619,0.0,1,10,0,1.0,34,28,0,0,3,1,0,0
1,1,0,7,4,1.0,0,1,1,0,0,0,1,0,1.75,1.833333,1.0,390,518,42,619,0.9373040000000001,0,55,0,0.26108400000000004,34,28,4,0,1,0,0,0
1,1,2,4,2,0.0,0,0,0,0,1,0,0,0,1.75,1.833333,0.0,390,518,42,619,0.9373040000000001,0,55,2,0.26108400000000004,34,28,0,0,1,0,0,0
3,3,10,30,14,0.0,0,0,0,0,0,0,0,0,1.75,1.833333,1.0,390,518,42,619,0.9373040000000001,0,55,2,0.26108400000000004,34,28,4,0,1,0,0,0
7,60,19,206,52,0.454545,2,11,11,0,12,0,5,0,5.605263,4.8297870000000005,0.428571,1264,1342,213,7963,0.949275,15,227,3,0.49359,322,277,15,5,30,19,7,1
7,21,17,111,18,0.333333,0,6,6,0,4,0,2,0,7.714286,7.714286,1.0,469,469,54,7963,0.9,0,54,3,0.3,322,277,4,0,10,0,0,1
1,2,1,7,32,1.0,1,0,1,0,1,0,1,0,3.111111,2.166667,0.095238,488,624,28,7963,0.989967,19,52,1,0.177866,322,277,2,0,13,22,0,0
3,3,9,18,9,1.0,0,1,1,0,1,0,1,0,2.0,2.0,0.0,196,196,8,993,0.0,0,8,1,0.0,111,106,0,0,11,0,0,0
1,1,3,8,3,0.0,0,0,0,0,1,0,0,0,2.0,2.0,0.0,196,196,8,993,0.0,0,8,0,0.0,111,106,0,0,11,0,0,0
2,2,1,14,1,0.0,0,0,0,0,0,0,0,0,2.0,2.0,0.0,196,196,8,993,0.0,0,8,0,0.0,111,106,0,0,11,0,0,0
2,2,6,31,5,0.9,0,10,10,0,0,0,9,0,2.0,2.0,0.0,196,196,8,993,0.0,0,8,1,0.0,111,106,0,0,11,0,0,0
1,1,3,7,6,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,26,26,2,993,0.5,0,2,3,1.0,111,106,3,0,2,0,0,0
3,8,2,22,7,0.5,2,2,2,0,0,0,1,0,2.5,2.636364,0.0,170,197,25,7010,1.0,5,29,1,0.0,464,451,0,9,6,6,9,0
5,3,10,79,15,1.0,0,4,4,0,1,0,4,0,2.5,2.5,1.0,166,166,10,713,0.6,0,10,2,0.5,36,34,5,0,4,0,0,0
3,4,1,15,3,0.0,0,0,0,0,0,0,0,0,2.5,2.5,1.0,166,166,10,713,0.6,0,10,0,0.5,36,34,2,0,4,0,0,0
2,2,3,12,7,0.0,0,0,0,0,0,0,0,0,2.5,2.5,1.0,166,166,10,713,0.6,0,10,1,0.5,36,34,4,0,4,0,0,0
1,1,0,3,0,0.0,0,0,0,0,0,0,0,0,2.5,2.5,0.0,166,166,10,713,0.6,0,10,0,0.5,36,34,0,0,4,0,0,0
3,6,4,32,6,1.0,1,1,1,0,0,0,1,0,6.0,6.0,0.0,34,34,6,713,0.0,2,6,1,1.0,36,34,0,0,1,2,0,0
6,22,10,134,20,1.0,0,1,1,0,13,0,1,0,4.314815,3.8730160000000002,0.636364,1910,2005,233,2259,0.953717,0,244,3,0.38350300000000004,113,101,7,4,11,3,4,1
6,24,12,122,25,0.5,1,1,4,0,10,0,2,0,4.314815,3.8730160000000002,0.5,1910,2005,233,2259,0.953717,3,244,3,0.38350300000000004,113,101,7,4,11,3,4,1
1,1,0,4,1,1.0,0,1,1,0,0,0,1,0,1.545455,1.545455,1.0,146,146,17,197,0.3,0,17,0,0.622222,16,16,1,9,1,0,9,0
1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,1.545455,1.545455,1.0,146,146,17,197,0.3,0,17,0,0.622222,16,16,1,9,1,0,9,0
1,1,0,3,0,1.0,0,1,1,0,0,0,1,0,1.545455,1.545455,0.0,146,146,17,197,0.3,0,17,0,0.622222,16,16,0,9,1,0,9,0
2,2,1,6,2,0.0,0,0,0,0,0,0,0,0,1.545455,1.545455,1.0,146,146,17,197,0.3,0,17,1,0.622222,16,16,1,9,1,0,9,0
2,3,1,10,2,0.0,0,0,0,0,0,0,0,0,1.545455,1.545455,1.0,146,146,17,197,0.3,0,17,1,0.622222,16,16,1,9,1,0,9,0
6,29,24,181,40,0.375,5,15,24,0,1,0,9,0,8.0,7.285714,0.166667,306,321,48,2893,0.866667,10,51,2,0.2,139,112,2,2,20,11,3,1
8,20,15,110,33,0.388889,6,6,18,2,0,1,7,2,3.714286,3.714286,0.06666699999999999,130,130,26,1008,0.833333,14,26,1,0.06666699999999999,55,45,1,0,6,14,0,1
3,3,6,22,10,1.0,1,0,1,0,1,0,1,0,2.222222,2.222222,0.75,200,200,20,817,0.825,1,20,4,1.0,116,26,3,0,2,1,0,0
2,2,5,18,9,1.0,1,0,1,0,0,0,1,0,2.222222,2.222222,0.75,200,200,20,817,0.825,1,20,1,1.0,116,26,3,0,2,1,0,0
2,2,2,13,3,0.0,0,0,0,0,0,0,0,0,2.222222,2.222222,1.0,200,200,20,817,0.825,0,20,0,1.0,116,26,1,0,2,1,0,0
2,2,7,13,8,0.0,0,0,0,0,2,0,0,0,2.222222,2.222222,1.0,200,200,20,817,0.825,0,20,3,1.0,116,26,1,0,2,1,0,0
5,5,4,23,16,0.166667,1,1,6,0,0,0,1,0,2.5,2.055556,0.14285699999999998,190,240,30,7206,0.803922,6,37,2,0.428571,551,463,1,0,6,12,0,0
1,1,1,5,4,1.0,1,1,1,0,0,0,1,0,1.0,1.0,0.666667,29,29,5,2303,0.0,1,5,1,0.0,198,159,2,0,2,0,0,0
1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,29,29,5,2303,0.0,0,5,0,0.0,198,159,1,0,2,0,0,0
1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,29,29,5,2303,0.0,0,5,0,0.0,198,159,1,0,2,0,0,0
1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,29,29,5,2303,0.0,0,5,0,0.0,198,159,1,0,2,0,0,0
1,1,0,3,0,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,29,29,5,2303,0.0,0,5,0,0.0,198,159,0,0,2,0,0,0
6,32,7,119,31,1.0,2,1,2,0,4,0,2,0,8.954887,8.895522,0.833333,5732,5744,1191,12655,0.9973799999999999,4,1192,0,0.938942,440,408,20,61,20,13,125,1
9,37,28,267,48,0.833333,3,6,6,0,10,0,5,0,8.954887,8.895522,0.8,5732,5744,1191,12655,0.9973799999999999,4,1192,0,0.938942,440,408,16,61,20,13,125,1
1,1,2,6,5,0.0,0,0,0,0,0,0,0,0,6.857142999999999,6.857142999999999,1.0,301,301,48,928,1.0,0,48,2,0.0,41,41,3,0,8,13,0,0
3,3,7,16,6,1.0,0,1,1,0,1,0,1,0,6.857142999999999,6.857142999999999,1.0,301,301,48,928,1.0,0,48,2,0.0,41,41,1,0,8,13,0,0
2,2,6,17,25,0.2,3,0,5,0,0,0,1,0,2.0,2.0,0.0,20,20,2,6579,0.0,15,2,5,1.0,454,385,0,0,0,15,0,0
1,1,2,4,4,0.0,0,0,0,0,0,0,0,0,4.181818,4.181818,1.0,228,228,46,228,0.933333,0,46,2,1.0,11,11,2,0,0,0,0,0
1,2,3,8,4,0.0,0,0,0,0,1,0,0,0,4.181818,4.181818,1.0,228,228,46,228,0.933333,0,46,1,1.0,11,11,1,0,0,0,0,0
1,2,1,7,2,0.0,0,0,0,0,0,0,0,0,4.181818,4.181818,1.0,228,228,46,228,0.933333,0,46,1,1.0,11,11,1,0,0,0,0,0
1,2,2,10,3,0.0,0,0,0,0,0,0,0,0,4.181818,4.181818,1.0,228,228,46,228,0.933333,0,46,1,1.0,11,11,1,0,0,0,0,0
2,4,3,23,4,0.0,0,0,0,0,0,0,0,0,4.181818,4.181818,1.0,228,228,46,228,0.933333,0,46,1,1.0,11,11,1,0,0,0,0,0
6,11,8,50,18,0.2,3,5,5,0,2,0,1,0,5.411765,5.411765,0.0,391,391,92,1345,0.0,10,92,2,1.0,133,133,0,0,23,42,0,0
1,1,4,5,4,1.0,0,1,1,0,1,0,1,0,2.647059,2.647059,0.0,571,571,45,3052,0.89375,0,45,4,0.363636,176,165,0,0,19,3,0,0
1,1,4,5,4,1.0,0,1,1,0,1,0,1,0,2.647059,2.647059,0.0,571,571,45,3052,0.89375,0,45,4,0.363636,176,165,0,0,19,3,0,0
1,1,1,4,1,0.0,0,0,0,0,2,0,0,0,2.647059,2.647059,0.0,571,571,45,3052,0.89375,0,45,1,0.363636,176,165,0,0,19,3,0,0
1,1,1,4,1,0.0,0,0,0,0,2,0,0,0,2.647059,2.647059,0.0,571,571,45,3052,0.89375,0,45,1,0.363636,176,165,0,0,19,3,0,0
1,1,0,5,5,1.0,1,1,1,0,1,0,1,0,2.647059,2.647059,1.0,571,571,45,3052,0.89375,1,45,0,0.363636,176,165,2,0,19,3,0,0
8,72,32,402,44,0.666667,1,3,3,0,4,0,2,0,10.181818,7.3125,0.25,714,739,112,4404,0.866667,9,117,7,0.714286,202,154,3,0,7,11,0,1
1,2,1,6,1,1.0,0,1,1,0,1,0,1,0,1.5,1.5,0.0,12,12,3,147,0.0,0,3,1,0.0,20,20,0,0,1,0,0,0
1,2,1,6,1,1.0,0,1,1,0,0,0,1,0,2.0,2.0,0.0,8,8,2,147,0.0,0,2,1,1.0,20,20,0,0,1,0,0,0
1,1,1,4,2,0.0,0,0,0,0,0,0,0,0,2.333333,1.8,1.0,75,95,7,1645,0.75,0,9,1,0.6,81,56,1,0,4,0,0,0
1,1,1,4,2,0.0,0,0,0,0,0,0,0,0,2.333333,1.8,1.0,75,95,7,1645,0.75,0,9,1,0.6,81,56,1,0,4,0,0,0
1,1,4,6,6,1.0,0,1,1,0,0,0,1,0,2.333333,1.8,1.0,75,95,7,1645,0.75,0,9,3,0.6,81,56,2,0,4,0,0,0
4,4,5,29,6,1.0,0,2,2,0,0,0,2,0,2.333333,1.8,1.0,75,95,7,1645,0.75,0,9,0,0.6,81,56,2,0,4,0,0,0
6,31,18,160,18,0.0,0,0,0,0,0,0,0,0,10.0,10.0,0.0,248,248,40,2309,0.0,0,40,3,0.0,96,78,0,0,1,2,0,1
1,1,2,6,3,0.0,0,0,0,0,0,0,0,0,1.5,1.5,1.0,21,21,3,4403,1.0,0,3,2,1.0,88,78,1,0,0,0,0,0
1,2,1,8,2,0.0,0,0,0,0,0,0,0,0,1.5,1.5,1.0,21,21,3,4403,1.0,0,3,1,1.0,88,78,1,0,0,0,0,0
1,1,0,4,1,0.0,0,0,0,0,0,0,0,0,8.416667,10.533333,1.0,815,1323,202,4403,0.896552,0,316,0,0.636842,88,78,1,0,29,11,0,0
1,1,2,12,7,1.0,0,1,1,0,1,0,1,0,8.416667,10.533333,1.0,815,1323,202,4403,0.896552,0,316,0,0.636842,88,78,2,0,29,11,0,0
8,50,32,244,33,1.0,4,6,10,0,5,0,10,0,8.416667,10.533333,0.333333,815,1323,202,4403,0.896552,4,316,3,0.636842,88,78,2,0,29,11,0,1
6,19,18,120,18,0.714286,1,6,7,0,3,0,5,0,8.902439,8.431818,0.5,2758,2827,365,4403,0.8637870000000001,1,371,4,0.685606,88,78,1,0,42,9,0,1
1,2,1,6,2,0.0,0,0,0,0,0,0,0,0,3.9230769999999997,3.9230769999999997,1.0,218,218,51,752,0.683333,0,51,1,0.755556,38,38,1,0,3,3,0,0
1,1,1,3,2,0.0,0,0,0,0,0,0,0,0,3.9230769999999997,3.9230769999999997,1.0,218,218,51,752,0.683333,0,51,1,0.755556,38,38,1,0,3,3,0,0
1,3,2,6,4,0.0,0,0,0,0,0,0,0,0,3.9230769999999997,3.9230769999999997,1.0,218,218,51,752,0.683333,0,51,2,0.755556,38,38,2,0,3,3,0,0
2,2,0,5,1,0.0,0,0,0,0,1,0,0,0,3.9230769999999997,3.9230769999999997,1.0,218,218,51,752,0.683333,0,51,0,0.755556,38,38,1,0,3,3,0,0
3,7,8,98,15,1.0,0,2,2,0,2,0,2,0,3.75,2.4666669999999997,1.0,175,319,30,2259,0.923645,0,74,4,0.192118,161,103,8,0,5,1,0,0
1,1,3,7,3,1.0,0,3,3,0,1,0,3,0,3.5,3.5,0.0,561,561,56,613,0.866667,0,56,3,0.622222,28,25,0,0,23,0,0,0
1,1,3,7,3,1.0,0,3,3,0,1,0,3,0,3.5,3.5,0.0,561,561,56,613,0.866667,0,56,3,0.622222,28,25,0,0,23,0,0,0
3,3,7,20,7,1.0,0,1,1,0,1,0,1,0,3.5,3.5,0.0,561,561,56,613,0.866667,0,56,3,0.622222,28,25,0,0,23,0,0,0
2,1,3,10,3,1.0,0,1,1,0,1,0,1,0,3.5,3.5,0.0,561,561,56,613,0.866667,0,56,3,0.622222,28,25,0,0,23,0,0,0
6,17,14,80,18,0.666667,0,6,6,0,3,0,4,0,6.428571,3.375,1.0,188,248,45,1322,0.891667,0,54,1,0.209524,72,32,4,8,11,0,8,1
6,23,21,147,24,0.28571399999999997,0,7,7,0,3,0,2,0,8.333333,8.333333,1.0,393,393,75,3177,0.642857,0,75,3,1.0,133,124,3,0,13,0,0,1
7,28,18,164,30,0.684211,1,19,19,0,6,0,13,0,4.451613,4.451613,0.666667,1142,1142,138,5146,0.8111109999999999,4,138,1,0.40579699999999996,397,247,8,0,47,6,0,1
1,1,3,4,4,0.0,0,0,0,0,0,0,0,0,1.833333,1.833333,1.0,59,59,11,59,1.0,0,11,3,0.0,7,7,1,0,1,0,0,0
2,2,2,7,2,0.0,0,0,0,0,1,0,0,0,1.833333,1.833333,0.0,59,59,11,59,1.0,0,11,1,0.0,7,7,0,0,1,0,0,0
2,2,2,7,2,0.0,0,0,0,0,1,0,0,0,1.833333,1.833333,0.0,59,59,11,59,1.0,0,11,1,0.0,7,7,0,0,1,0,0,0
3,3,5,19,4,1.0,0,1,1,0,0,0,1,0,1.833333,1.833333,0.0,59,59,11,59,1.0,0,11,2,0.0,7,7,0,0,1,0,0,0
1,3,4,13,15,1.0,2,1,1,0,1,0,1,0,11.0,10.529411999999999,0.454545,616,695,165,1180,0.825893,6,179,4,0.722222,39,37,5,0,18,51,0,0
2,7,0,20,11,1.0,2,1,1,0,0,0,1,0,11.0,10.529411999999999,0.636364,616,695,165,1180,0.825893,4,179,0,0.722222,39,37,7,0,18,51,0,0
3,10,1,40,11,0.5,1,2,2,0,1,0,1,0,11.0,10.529411999999999,0.7,616,695,165,1180,0.825893,3,179,0,0.722222,39,37,7,0,18,51,0,0
5,43,15,108,54,0.230769,5,5,13,0,2,0,3,0,11.0,10.529411999999999,0.06451599999999999,616,695,165,1180,0.825893,29,179,2,0.722222,39,37,2,0,18,51,0,1
5,52,10,136,30,0.153846,3,8,13,0,3,0,2,0,11.0,10.529411999999999,0.227273,616,695,165,1180,0.825893,17,179,1,0.722222,39,37,5,0,18,51,0,1
4,24,13,120,28,0.294118,4,16,17,0,0,0,5,0,6.75,4.8333330000000005,0.0,134,147,27,5545,1.0,15,29,2,0.0,382,274,0,0,16,15,0,1
11,127,33,406,48,0.0,0,0,0,0,0,0,0,0,14.25,14.25,1.0,1011,1011,171,2107,0.9878790000000001,0,171,4,0.681818,68,68,15,0,0,0,10,1
1,1,1,4,3,0.0,0,0,0,0,0,0,0,0,5.9375,5.9375,1.0,590,590,95,1322,1.0,0,95,1,1.0,30,30,2,0,26,127,0,0
1,1,0,3,1,0.0,0,0,0,0,0,0,0,0,5.9375,5.9375,1.0,590,590,95,1322,1.0,0,95,0,1.0,30,30,1,0,26,127,0,0
2,3,4,20,6,0.0,0,0,0,0,2,0,0,0,5.9375,5.9375,1.0,590,590,95,1322,1.0,0,95,2,1.0,30,30,2,0,26,127,0,0
2,2,11,30,12,1.0,0,2,2,0,3,0,2,0,5.9375,5.9375,1.0,590,590,95,1322,1.0,0,95,2,1.0,30,30,1,0,26,127,0,0
7,22,31,143,99,0.19230799999999998,4,8,26,0,4,0,5,0,5.9375,5.9375,0.166667,590,590,95,1322,1.0,35,95,1,1.0,30,30,7,0,26,127,0,1
10,18,28,102,57,0.22222199999999998,4,7,18,0,0,0,4,0,5.9375,5.9375,0.076923,590,590,95,1322,1.0,12,95,1,1.0,30,30,1,0,26,127,0,1
8,87,39,374,72,0.363636,6,14,22,0,3,0,8,0,21.8,19.0,0.076923,495,523,109,5748,0.75,24,114,0,1.0,334,263,2,0,16,27,0,1
1,1,2,3,0,0.0,0,0,0,0,0,0,0,0,1.0,1.0,0.0,12,12,2,148,0.0,0,2,2,0.0,12,12,0,0,1,0,0,0
1,1,9,6,6,1.0,0,1,1,0,0,0,1,0,1.0,1.0,0.0,12,12,2,148,0.0,0,2,7,0.0,12,12,0,0,1,0,0,0
1,1,0,5,2,0.0,0,0,0,0,1,0,0,0,1.0,1.0,1.0,29,29,4,148,0.0,0,4,0,1.0,12,12,2,0,2,0,0,0
1,1,2,7,3,1.0,0,1,1,0,1,0,1,0,1.0,1.0,1.0,29,29,4,148,0.0,0,4,2,1.0,12,12,2,0,2,0,0,0
1,1,0,4,4,0.0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,29,29,4,148,0.0,0,4,0,1.0,12,12,4,0,2,0,0,0
7,55,36,241,42,1.0,2,2,2,0,1,0,2,0,9.666667,7.8333330000000005,0.666667,356,372,87,1207,0.5,2,94,2,0.933333,95,89,4,0,9,1,0,1
2,3,14,38,27,0.277778,3,13,18,0,1,0,5,0,1.4,1.4,0.153846,74,74,7,1093,0.625,11,7,2,1.0,94,94,2,0,21,11,0,0
6,45,69,214,86,0.571429,2,5,7,0,5,0,4,0,8.538461999999999,8.538461999999999,0.5625,783,783,111,1683,0.9055559999999999,3,111,12,0.666667,37,37,9,0,24,25,0,1
6,22,37,102,60,0.4,2,14,15,0,1,0,6,0,7.714286,7.714286,0.6190479999999999,430,430,54,646,0.8703700000000001,5,54,5,1.0,28,27,13,0,47,5,0,1
1,1,1,3,2,0.0,0,0,0,0,0,0,0,0,1.75,1.75,1.0,290,290,21,2820,0.8636360000000001,0,21,1,0.8909090000000001,121,112,1,0,20,5,0,0
1,1,1,6,1,1.0,0,2,2,0,0,0,2,0,1.142857,1.333333,0.0,93,131,8,707,1.0,0,12,1,0.0,39,34,0,0,6,3,0,0
1,1,1,6,1,1.0,0,2,2,0,0,0,2,0,1.142857,1.333333,0.0,93,131,8,707,1.0,0,12,1,0.0,39,34,0,0,6,3,0,0
1,1,2,7,4,0.0,1,0,0,0,0,0,0,0,1.142857,1.333333,0.0,93,131,8,707,1.0,2,12,2,0.0,39,34,0,0,6,3,0,0
1,1,0,4,1,1.0,1,1,1,0,0,0,1,0,1.142857,1.333333,0.0,93,131,8,707,1.0,1,12,0,0.0,39,34,0,0,6,3,0,0
2,2,3,18,9,1.0,1,2,2,0,0,0,2,0,1.862069,1.806452,0.0,1127,1151,54,6459,1.0,6,56,3,0.0,443,432,0,0,29,14,0,0
1,1,4,20,11,1.0,1,1,1,0,0,0,1,0,2.0,2.0,0.0,307,307,26,6812,1.0,7,26,4,0.0,299,293,0,0,17,8,0,0
1,1,1,4,2,1.0,0,1,1,0,0,0,1,0,1.25,1.25,1.0,88,88,10,1578,0.14285699999999998,0,10,1,1.0,136,130,1,0,8,0,0,0
1,1,0,4,1,1.0,0,1,1,0,0,0,1,0,1.25,1.25,1.0,88,88,10,1578,0.14285699999999998,0,10,0,1.0,136,130,1,0,8,0,0,0
1,1,0,4,1,1.0,0,1,1,0,0,0,1,0,1.25,1.25,1.0,88,88,10,1578,0.14285699999999998,0,10,0,1.0,136,130,1,0,8,0,0,0
2,2,2,16,3,1.0,0,1,1,0,0,0,1,0,1.25,1.25,1.0,88,88,10,1578,0.14285699999999998,0,10,0,1.0,136,130,1,0,8,0,0,0
8,35,24,284,43,0.263158,0,11,19,0,4,0,5,0,10.0,10.0,0.466667,1566,1566,90,1627,0.895833,0,90,1,1.0,92,64,7,0,22,0,0,1
8,21,17,104,21,0.428571,3,7,7,0,1,0,3,0,4.565217,4.565217,0.5,776,776,105,2551,0.9444440000000001,3,105,1,0.11428599999999998,142,117,2,0,17,7,0,1
2,4,9,51,21,0.571429,3,7,7,0,0,0,4,0,2.25,2.25,0.166667,76,76,9,3957,1.0,10,9,2,0.333333,129,105,2,0,9,2,0,0
9,22,29,169,57,0.809524,9,16,21,2,0,2,17,2,6.076923000000001,5.62069,0.448276,1538,1583,158,1583,0.975914,16,163,4,0.809524,32,29,13,1,71,44,1,1
6,23,29,159,55,0.416667,6,27,36,0,0,0,15,0,7.75,7.75,0.52381,228,228,31,3757,0.733333,12,31,4,0.5,219,137,11,0,30,12,0,1
